day,diversity,replicate,competition,clone,rotifers,method_r,protist,method_p,NOTES
14,Low,F,TRUE,1,27,slide,101,line,
14,Low,F,TRUE,2,25,slide,108,line,
14,Low,F,TRUE,3,21,slide,81,line,
14,Low,F,TRUE,4,31,slide,83,line,
14,Low,F,TRUE,5,24,slide,129,line,
14,High,A,FALSE,mix,42,slide,,line,
14,High,B,FALSE,mix,35,slide,,line,
14,High,C,FALSE,mix,34,slide,,line,
14,High,D,TRUE,mix,18,slide,102,line,
14,High,E,TRUE,mix,14,slide,86,line,
14,High,F,TRUE,mix,24,slide,63,line,
16,Low,A,FALSE,1,36,slide,,line,
16,Low,A,FALSE,2,30,slide,,line,
16,Low,A,FALSE,3,34,slide,,line,
16,Low,A,FALSE,4,23,slide,,line,
16,Low,A,FALSE,5,14,slide,,line,
16,Low,B,FALSE,1,38,slide,,line,
16,Low,B,FALSE,2,21,slide,,line,
16,Low,B,FALSE,3,33,slide,,line,
16,Low,B,FALSE,4,28,slide,,line,
16,Low,B,FALSE,5,15,slide,,line,
16,Low,C,FALSE,1,28,slide,,line,
16,Low,C,FALSE,2,29,slide,,line,
16,Low,C,FALSE,3,22,slide,,line,
16,Low,C,FALSE,4,19,slide,,line,
16,Low,C,FALSE,5,16,slide,,line,
16,Low,D,TRUE,1,31,slide,89,line,
16,Low,D,TRUE,2,19,slide,98,line,
16,Low,D,TRUE,3,17,slide,138,line,
16,Low,D,TRUE,4,15,slide,55,line,
16,Low,D,TRUE,5,8,slide,95,line,
16,Low,E,TRUE,1,22,slide,50,line,
16,Low,E,TRUE,2,16,slide,67,line,
16,Low,E,TRUE,3,17,slide,72,line,
16,Low,E,TRUE,4,34,slide,160,line,
16,Low,E,TRUE,5,15,slide,72,line,
16,Low,F,TRUE,1,18,slide,98,line,
16,Low,F,TRUE,2,27,slide,68,line,
16,Low,F,TRUE,3,27,slide,81,line,
16,Low,F,TRUE,4,35,slide,154,line,
16,Low,F,TRUE,5,30,slide,184,line,
16,High,A,FALSE,mix,23,slide,,line,
16,High,B,FALSE,mix,30,slide,,line,
16,High,C,FALSE,mix,34,slide,,line,
16,High,D,TRUE,mix,20,slide,100,line,
16,High,E,TRUE,mix,19,slide,153,line,
16,High,F,TRUE,mix,21,slide,168,line,
